mid,aid
4262,5634
4263,1927
4263,81441
4263,234678
4263,1938
4263,1939
4263,234679
4265,16938
4265,16938
4265,16483
4265,16483
4265,65563
4265,65564
4265,69898
4265,6898
4265,18265
4266,52371
4266,52371
4266,52377
4266,60888
4266,52379
4266,72441
4266,6899
4266,51915
4267,21981
4267,21982
4267,3392
4267,21983
4267,9251
4267,8677
4267,9772
4267,546
4267,11877
4267,8221
4267,21984
4267,7735
4267,14377
4268,36804
4268,7795
4269,18308
4269,1066547
4269,45125
4269,16363
4269,29488
4269,47991
4269,1462389
4269,37756
4269,18308
4269,53841
4269,43625
4269,1462390
4269,86109
4269,1462391
4269,1395758
4269,1462392
4269,1462393
4269,1462394
4269,1338245
4270,7775
4270,7775
4270,7779
4270,7780
4270,37
4270,7783
4270,18921
4270,7784
4270,45841
4270,53346
4270,7793
4271,119493
4271,119493
4272,52542
4272,53773
4272,53774
4273,4387
4273,4387
4273,19359
4273,40302
4273,4388
4273,4402
4273,4401
4273,4403
4273,759
4273,26097
4273,71350
4273,4406
4273,71351
4273,71351
4273,26099
4274,10601
4274,7646
4274,10536
4274,14962
4274,1118234
4274,10601
4274,31843
4274,30208
4274,1118235
4274,13270
4274,12242
4274,2108
4274,1118257
4274,22088
4274,30106
4274,1005573
4274,1000433
4274,9061
4274,93962
4274,29595
4274,8502
4274,24797
4274,1335586
4274,7688
4274,9587
4274,38229
4274,25806
4274,7205
4274,1411150
4274,7690
4274,1411152
4274,1338850
4274,1411156
4274,1207585
4274,9803
4274,3258
4274,66641
4274,40052
4274,1378839
4274,142625
4274,1411160
4275,12804
4275,12805
4275,12806
4275,12807
4275,12808
4275,1729
4275,307
4275,244
4275,2485
4275,10641
4275,12810
4275,10642
4275,7788
4275,10643
4275,9955
4276,13
4276,13
4276,11368
4277,29250
4277,25167
4277,29251
4277,29252
4277,2005
4277,29253
4277,4128
4277,29254
4277,29256
4277,29257
4277,3484
4277,29256
4278,10139
4279,2212
4279,52629
4279,12841
4279,17880
4280,9577
4280,69002
4280,18776
4280,9577
4280,34484
4280,4008
4280,57139
4280,1412008
4280,3806
4280,369
4280,1329414
4281,38914
4281,7795
4281,136426
4282,4415
4282,4415
4282,68407
4282,67884
4282,5678
4282,5820
4282,68408
4282,68409
4282,3098
4282,68410
4282,15131
4282,32053
4283,4415
4283,4415
4283,33788
4283,3098
4283,15131
4283,32053
4283,67884
4284,43816
4284,33829
4285,1201
4285,33829
4285,1201
4285,10468
4285,11099
4285,33830
4285,14340
4285,1263
4285,1222
4285,32279
4285,13435
4285,13589
4286,57138
4286,21101
4286,57614
4286,57680
4286,4055
4286,33459
4286,959460
4286,6052
4286,21813
4287,18907
4287,39058
4287,39060
4287,1931
4287,3148
4287,10469
4287,41011
4287,1045774
4288,27977
4289,4415
4289,4415
4289,5678
4289,67884
4289,43704
4289,4416
4289,23508
4289,66675
4289,15131
4289,32053
4290,21958
4290,10439
4290,87386
4290,577475
4291,4967
4291,4967
4291,406204
4292,18854
4292,46620
4292,46621
4292,947929
4292,58103
4292,8422
4292,1153
4292,2588
4292,597
4292,598
4293,1895
4293,1184145
4293,1184146
4294,1940
4294,46307
4294,65705
4294,65705
4294,4081
4294,13864
4294,34436
4294,31206
4294,1056670
4294,1056671
4294,117774
4295,2778
4295,55948
4295,109830
4296,56873
4296,12288
4296,19607
4296,56874
4296,21012
4296,133259
4297,19684
4297,19684
4297,68442
4297,68443
4297,68444
4297,56877
4297,6335
4297,23331
4297,23332
4298,14227
4298,14228
4298,14229
4298,14231
4298,14232
4298,14233
4298,2578
4298,14234
4298,14235
4298,14236
4298,14237
4298,14238
4298,14240
4298,14241
4298,14228
4298,14228
4298,14227
4299,4723
4299,4723
4299,51612
4299,4723
4299,25054
4299,1225
4299,20065
4299,11001
4299,6410
4299,2626
4299,63131
4299,119115
4299,119116
4299,119117
4300,15490
4300,15488
4301,37526
4301,37526
4302,6210
4302,6149
4302,44633
4302,1012
4302,65879
4302,1174
4302,44634
4302,6146
4302,65880
4302,39454
4302,65881
4302,1262
4302,17530
4302,65882
4302,3922
4302,2623
4302,65884
4302,65883
4302,65879
4303,87009
4303,87009
4304,115891
4304,115892
4305,46085
4305,46086
4305,46087
4305,1296
4305,46088
4305,1059
4305,8303
4305,18691
4305,21479
4305,46090
4305,46091
4305,7229
4305,33238
4305,38083
4306,5524
4306,12058
4306,12081
4306,1705
4306,1706
4306,12083
4306,12061
4306,12062
4306,12106
4306,12065
4306,12066
4306,1706
4306,1705
4306,5553
4306,11098
4306,5542
4306,12090
4306,12070
4306,12071
4306,12072
4306,5549
4306,12107
4306,1451229
4306,1447347
4306,60250
4306,12067
4306,12087
4306,488
4307,230071
4308,6201
4308,6201
4308,6211
4308,6201
4308,12201
4308,6204
4308,12202
4308,5486
4308,6203
4308,7045
4308,1095
4308,3050
4308,12203
4308,1720
4308,6203
4308,12204
4308,6208
4308,6203
4308,12205
4309,118020
4309,118020
4310,2460
4310,865
4310,770
4310,10118
4310,10119
4310,2443
4310,5545
4310,10120
4310,2446
4310,10121
4310,2448
4310,2444
4310,10122
4310,2460
4310,947
4310,892
4310,10123
4310,898
4310,541
4310,2484
4310,897
4310,9817
4310,9819
4310,8848
4310,10124
4310,10125
4310,10126
4310,605
4310,865
4310,1432957
4311,71614
4312,147024
4313,57206
4313,57206
4314,205639
4314,205639
4316,110922
4316,110922
4316,110924
4316,36579
4316,52952
4316,1430403
4316,10468
4316,2287
4316,493
4316,1048
4316,31066
4316,597
4316,598
4317,58190
4317,14089
4317,14089
4318,5342
4318,4
4318,4
4319,18392
4319,130059
4319,69104
4319,13780
4319,13784
4319,18593
4319,9103
4319,14570
4319,7648
4320,9789
4320,9789
4320,9789
4320,129690
4320,72427
4320,9789
4320,30629
4320,30605
4320,129691
4320,30606
4321,33485
4321,27518
4321,27519
4321,33486
4321,7904
4321,9251
4321,9252
4321,4501
4321,16593
4321,18457
4321,596
4321,21070
4321,906
4321,7536
4322,102445
4322,102445
4322,558280
4322,71324
4322,66104
4322,28714
4322,90559
4322,149
4322,941820
4322,20836
4322,20836
4322,960947
4322,957258
4322,91050
4323,8500
4323,1095794
4323,29618
4323,50270
4323,29618
4323,50270
4323,17667
4323,40183
4323,30494
4323,1005626
4324,13784
4324,13780
4324,1045
4324,30507
4324,1398261
4325,15189
4325,15189
4325,5397
4325,15191
4325,15189
4325,5397
4325,15191
4326,9168
4326,18246
4326,7020
4326,10717
4327,14520
4327,14521
4327,14520
4327,14522
4327,14523
4327,7182
4327,3148
4327,3643
4327,11970
4327,14524
4327,14056
4327,14526
4327,878
4327,14527
4328,18579
4328,19266
4328,34494
4328,7182
4328,10185
4328,96427
4328,1126359
4328,1263
4328,103471
4329,4296
4329,4297
4329,4298
4329,4308
4329,4309
4329,4311
4329,4312
4329,4313
4329,4315
4329,4082
4329,11435
4329,11435
4329,1077688
4330,2891
4330,2891
4330,14960
4331,12964
4331,6835
4331,41148
4331,41150
4331,7769
4331,41151
4331,3985
4331,41152
4331,8868
4332,12804
4332,27
4332,73148
4332,29856
4332,7714
4332,11848
4332,244
4333,11957
4333,518
4333,70859
4333,3393
4333,5174
4333,12940
4334,143035
4334,143035
4335,44481
4335,57109
4336,22676
4336,22676
4336,50091
4336,1637
4336,40268
4336,50092
4337,3099
4337,874
4337,34436
